"RowNumber","CustomerKey","GeographyKey","CustomerAlternateKey","FirstName","MiddleName","LastName","NameStyle","BirthDate","MaritalStatus","Suffix","Gender","EmailAddress","YearlyIncome","TotalChildren","NumberChildrenAtHome","EnglishEducation","SpanishEducation","FrenchEducation","EnglishOccupation","SpanishOccupation","FrenchOccupation","HouseOwnerFlag","NumberCarsOwned","AddressLine1","AddressLine2","Phone","DateFirstPurchase","CommuteDistance"
INTEGER,INTEGER,INTEGER,VARCHAR,VARCHAR,VARCHAR,VARCHAR,BOOLEAN,DATE,VARCHAR,VARCHAR,VARCHAR,VARCHAR,DECIMAL,INTEGER,INTEGER,VARCHAR,VARCHAR,VARCHAR,VARCHAR,VARCHAR,VARCHAR,VARCHAR,INTEGER,VARCHAR,VARCHAR,VARCHAR,DATE,VARCHAR
1,11001,1,"AW00011001","John","A","Smith",0,"1975-03-15","M","","Male","john.smith@example.com",75000.00,2,1,"Bachelors","Licenciatura","Licence","Professional","Profesional","Professionnel","1",2,"123 Main St","Apt 4B","555-0101","2019-05-20","10-15 Miles"
2,11002,2,"AW00011002","Maria","J","Garcia",0,"1988-07-22","S","","Female","maria.garcia@example.com",52000.00,0,0,"High School","Secundaria","Lycee","Skilled Manual","Tecnico","Manual Qualifie","0",1,"456 Oak Ave",,"555-0102","2020-11-10","1-5 Miles"
3,11003,3,"AW00011003","Robert","L","Johnson",0,"1965-11-30","M","Jr.","Male","r.johnson@example.com",112000.00,3,2,"Graduate Degree","Posgrado","Master","Management","Gerencia","Gestion","1",3,"789 Pine Rd","Suite 100","555-0103","2018-03-05","15+ Miles"
4,11004,4,"AW00011004","Wei",,"Zhang",0,"1992-01-10","S","","Female","wei.zhang@example.com",68000.00,1,1,"Partial College","Universidad Parcial","Universite Partielle","Clerical","Administrativo","Administratif","0",1,"101 Elm Blvd",,"555-0104","2021-07-14","5-10 Miles"
5,11005,5,"AW00011005","James","T","Wilson",0,"1979-09-05","M","","Male","james.wilson@example.com",89000.00,4,2,"Bachelors","Licenciatura","Licence","Professional","Profesional","Professionnel","1",2,"246 Maple Dr","PO Box 12","555-0105","2017-12-01","1-5 Miles"
6,11006,6,"AW00011006","Sophia",,"Williams",0,"1995-04-18","S","","Female","sophia.w@example.com",48000.00,0,0,"Partial College","Universidad Parcial","Universite Partielle","Clerical","Administrativo","Administratif","0",1,"369 Cedar Ln",,"555-0106","2022-02-28","0-1 Miles"
7,11007,7,"AW00011007","Carlos","E","Lopez",0,"1983-12-12","M","","Male","c.lopez@example.com",105000.00,2,1,"Graduate Degree","Posgrado","Master","Management","Gerencia","Gestion","1",2,"159 Birch Ct","Unit 5A","555-0107","2019-09-09","10-15 Miles"
8,11008,8,"AW00011008","Olivia","M","Brown",0,"1990-06-25","M","","Female","olivia.brown@example.com",61000.00,1,0,"Bachelors","Licenciatura","Licence","Skilled Manual","Tecnico","Manual Qualifie","0",1,"753 Spruce Way",,"555-0108","2020-04-17","5-10 Miles"
9,11009,9,"AW00011009","Kenji",,"Tanaka",0,"1971-08-08","M","","Male","k.tanaka@example.com",125000.00,2,2,"Graduate Degree","Posgrado","Master","Professional","Profesional","Professionnel","1",3,"852 Redwood St",,"555-0109","2016-08-22","15+ Miles"
10,11010,10,"AW00011010","Elena","S","Ivanova",0,"1987-05-03","S","","Female","elena.i@example.com",72000.00,0,0,"Bachelors","Licenciatura","Licence","Clerical","Administrativo","Administratif","1",1,"963 Willow Ave","Apt 7C","555-0110","2021-10-31","1-5 Miles"
