"RowNumber","EmployeeKey","ParentEmployeeKey","EmployeeNationalIDAlternateKey","ParentEmployeeNationalIDAlternateKey","SalesTerritoryKey","FirstName","LastName","MiddleName","NameStyle","Title","HireDate","BirthDate","LoginID","EmailAddress","Phone","MaritalStatus","EmergencyContactName","EmergencyContactPhone","SalariedFlag","Gender","PayFrequency","BaseRate","VacationHours","SickLeaveHours","CurrentFlag","SalesPersonFlag","DepartmentName","StartDate","EndDate","Status"
INTEGER,INTEGER,INTEGER,VARCHAR,VARCHAR,INTEGER,VARCHAR,VARCHAR,VARCHAR,BOOLEAN,VARCHAR,DATE,DATE,VARCHAR,VARCHAR,VARCHAR,VARCHAR,VARCHAR,VARCHAR,BOOLEAN,VARCHAR,INTEGER,DECIMAL(19.4),INTEGER,INTEGER,BOOLEAN,BOOLEAN,VARCHAR,DATE,DATE,VARCHAR
1,1,0,"EMP-US-001",,7,"John","Smith","A",0,"Chief Executive Officer","2010-06-15","1970-05-10","adventure-works\john1","john.smith@adventure-works.com","123-456-7890","M","Mary Smith","987-654-3210",1,"Male",1,125.0000,25,60,1,0,"Executive","2010-06-15",NULL,"Current"
2,2,1,"EMP-US-002","EMP-US-001",,"Karen","Jones","R",0,"Vice President of Sales","2012-03-10","1975-08-22","adventure-works\karen0","karen.jones@adventure-works.com","123-456-7891","S","James Jones","987-654-3211",1,"Female",1,95.5000,22,55,1,0,"Sales","2012-03-10",NULL,"Current"
3,3,2,"EMP-US-003","EMP-US-002",6,"Michael","Brown","T",0,"Sales Manager","2014-07-01","1982-11-14","adventure-works\michael0","michael.brown@adventure-works.com","123-456-7892","M","Sarah Brown","987-654-3212",1,"Male",1,75.2500,20,50,1,1,"Sales","2014-07-01",NULL,"Current"
4,4,3,"EMP-US-004","EMP-US-003",6,"David","Johnson","L",0,"Sales Representative","2016-09-22","1988-03-30","adventure-works\david0","david.johnson@adventure-works.com","123-456-7893","M","Lisa Johnson","987-654-3213",0,"Male",2,28.7500,15,40,1,1,"Sales","2016-09-22",NULL,"Current"
5,5,3,"EMP-US-005","EMP-US-003",7,"Jennifer","Williams","M",0,"Sales Representative","2017-01-15","1990-07-12","adventure-works\jennifer0","jennifer.williams@adventure-works.com","123-456-7894","S","Robert Williams","987-654-3214",0,"Female",2,29.5000,15,42,1,1,"Sales","2017-01-15",NULL,"Current"
6,6,1,"EMP-US-006","EMP-US-001",,"Robert","Davis","K",0,"Vice President of Production","2011-11-05","1973-09-18","adventure-works\robert0","robert.davis@adventure-works.com","123-456-7895","M","Patricia Davis","987-654-3215",1,"Male",1,102.0000,24,58,1,0,"Production","2011-11-05",NULL,"Current"
7,7,6,"EMP-US-007","EMP-US-006",,"Maria","Garcia","A",0,"Production Supervisor","2013-04-20","1978-12-05","adventure-works\maria0","maria.garcia@adventure-works.com","123-456-7896","M","Carlos Garcia","987-654-3216",1,"Female",1,65.8000,18,45,1,0,"Production","2013-04-20",NULL,"Current"
8,8,7,"EMP-US-008","EMP-US-007",,"James","Miller","J",0,"Production Technician","2015-08-30","1985-06-25","adventure-works\james0","james.miller@adventure-works.com","123-456-7897","S","Emily Miller","987-654-3217",0,"Male",2,24.3500,12,35,1,0,"Production","2015-08-30",NULL,"Current"
9,9,2,"EMP-US-009","EMP-US-002",,"Susan","Wilson","P",0,"Sales Representative","2018-05-10","1992-04-08","adventure-works\susan0","susan.wilson@adventure-works.com","123-456-7898","S","Thomas Wilson","987-654-3218",0,"Female",2,27.9000,14,38,0,1,"Sales","2018-05-10","2023-12-31","Former"
10,10,7,"EMP-US-010","EMP-US-007",,"Thomas","Moore","C",0,"Production Technician","2019-02-28","1991-10-17","adventure-works\thomas0","thomas.moore@adventure-works.com","123-456-7899","M","Jennifer Moore","987-654-3219",0,"Male",2,23.5000,10,30,1,0,"Production","2019-02-28",NULL,"Current"

